piece,time,letter,triad,sevenths
nan,17.7,A,maj,na
nan,17.8,A,maj,na
nan,17.9,A,maj,na
nan,18,A,maj,na
nan,18.1,A,maj,na
nan,18.2,A,maj,na
nan,18.3,A,maj,na
nan,18.4,A,maj,na
nan,18.5,A,maj,na
nan,18.6,A,maj,na
nan,18.7,A,maj,na
nan,18.8,A,maj,na
nan,18.9,A,maj,na
nan,19,A,maj,na
nan,19.1,A,maj,na
nan,19.2,A,maj,na
nan,19.3,A,maj,na
nan,19.4,A,maj,na
nan,19.5,A,maj,maj7
nan,19.6,A,maj,maj7
nan,19.7,A,maj,maj7
nan,19.8,A,maj,maj7
orchestra_addon/CrossEra-1618_Beethoven_Symphony_5_4_allegro.mp3,0,na,na,na
nan,0,C,maj,na
nan,0.1,C,maj,na
nan,0.2,C,maj,na
nan,0.3,G,maj,na
nan,0.4,G,maj,na
nan,0.5,G,maj,na
nan,0.6,G,maj,na
nan,0.7,G,maj,na
nan,0.8,G,maj,na
nan,0.9,G,maj,na
nan,1,G,maj,na
nan,1.1,G,maj,na
nan,1.2,G,maj,na
nan,1.3,G,maj,na
nan,1.4,G,maj,na
nan,1.5,G,maj,na
nan,1.6,G,maj,na
nan,1.7,G,maj,na
nan,1.8,G,maj,na
nan,1.9,G,maj,na
nan,2,G,maj,na
nan,2.1,G,maj,na
nan,2.2,G,maj,na
nan,2.3,G,maj,na
nan,2.4,G,maj,na
nan,2.5,G,maj,na
nan,2.6,G,maj,na
nan,2.7,G,maj,na
nan,2.8,G,maj,na
nan,2.9,G,maj,na
nan,3,G,maj,na
nan,3.1,G,maj,na
nan,3.2,G,maj,na
nan,3.3,G,maj,na
nan,3.4,G,maj,na
nan,3.5,G,maj,na
nan,3.6,G,maj,na
nan,3.7,G,maj,na
nan,3.8,G,maj,na
nan,3.9,G,maj,na
nan,4,G,maj,na
nan,4.1,G,maj,na
nan,4.2,G,maj,na
nan,4.3,G,maj,na
nan,4.4,G,maj,na
nan,4.5,G,maj,na
nan,4.6,G,maj,na
nan,4.7,G,maj,na
nan,4.8,G,maj,na
nan,4.9,G,maj,na
nan,5,G,maj,na
nan,5.1,G,maj,na
nan,5.2,G,maj,na
nan,5.3,G,maj,na
nan,5.4,G,maj,na
nan,5.5,G,maj,na
nan,5.6,G,maj,na
nan,5.7,G,maj,na
nan,5.8,G,maj,na
nan,5.9,G,maj,na
nan,6,G,maj,na
nan,6.1,G,maj,na
nan,6.2,G,maj,na
nan,6.3,G,maj,na
nan,6.4,C,maj,na
nan,6.5,C,maj,na
nan,6.6,C,maj,na
nan,6.7,C,maj,na
nan,6.8,C,maj,na
nan,6.9,C,maj,na
nan,7,C,maj,na
nan,7.1,C,maj,na
nan,7.2,C,maj,na
nan,7.3,C,maj,na
nan,7.4,C,maj,na
nan,7.5,C,maj,na
nan,7.6,C,maj,na
nan,7.7,F,maj,na
nan,7.8,F,maj,na
nan,7.9,F,maj,na
nan,8,F,maj,na
nan,8.1,F,maj,na
nan,8.2,F,maj,na
nan,8.3,F,maj,na
nan,8.4,F,maj,na
nan,8.5,F,maj,na
nan,8.6,F,maj,na
nan,8.7,F,maj,na
nan,8.8,F,maj,na
nan,8.9,F,maj,na
nan,9,F,maj,na
nan,9.1,A,min,min7
nan,9.2,A,min,min7
nan,9.3,A,min,min7
nan,9.4,A,min,min7
nan,9.5,A,min,min7
nan,9.6,A,min,min7
nan,9.7,A,min,min7
nan,9.8,A,min,min7
nan,9.9,A,min,min7
nan,10,A,min,min7
nan,10.1,A,min,min7
nan,10.2,A,min,min7
nan,10.3,A,min,min7
nan,10.4,A,min,min7
nan,10.5,F,maj,na
nan,10.6,F,maj,na
nan,10.7,F,maj,na
nan,10.8,F,maj,na
nan,10.9,F,maj,na
nan,11,F,maj,na
nan,11.1,F,maj,na
nan,11.2,F,maj,na
nan,11.3,F,maj,na
nan,11.4,F,maj,na
nan,11.5,F,maj,na
nan,11.6,F,maj,na
nan,11.7,F,maj,na
nan,11.8,F,maj,na
nan,11.9,C,maj,na
nan,12,C,maj,na
nan,12.1,C,maj,na
nan,12.2,C,maj,na
nan,12.3,C,maj,na
nan,12.4,C,maj,na
nan,12.5,C,maj,na
nan,12.6,C,maj,na
nan,12.7,C,maj,na
nan,12.8,C,maj,na
nan,12.9,C,maj,na
nan,13,C,maj,na
nan,13.1,C,maj,na
nan,13.2,C,maj,na
nan,13.3,F,maj,na
nan,13.4,F,maj,na
nan,13.5,F,maj,na
nan,13.6,F,maj,na
nan,13.7,F,maj,na
nan,13.8,F,maj,na
nan,13.9,F,maj,na
nan,14,F,maj,na
nan,14.1,F,maj,na
nan,14.2,F,maj,na
nan,14.3,F,maj,na
nan,14.4,F,maj,na
nan,14.5,F,maj,na
nan,14.6,C,maj,maj7
nan,14.7,C,maj,maj7
nan,14.8,C,maj,maj7
nan,14.9,C,maj,maj7
nan,15,C,maj,maj7
nan,15.1,C,maj,maj7
nan,15.2,C,maj,maj7
nan,15.3,C,maj,maj7
nan,15.4,C,maj,maj7
nan,15.5,C,maj,maj7
nan,15.6,C,maj,maj7
nan,15.7,C,maj,maj7
nan,15.8,C,maj,maj7
nan,15.9,C,maj,maj7
nan,16,G,maj,na
nan,16.1,G,maj,na
nan,16.2,G,maj,na
nan,16.3,G,maj,na
nan,16.4,G,maj,na
nan,16.5,G,maj,na
nan,16.6,G,maj,na
nan,16.7,G,maj,na
nan,16.8,G,maj,na
nan,16.9,G,maj,na
nan,17,G,maj,na
nan,17.1,G,maj,na
nan,17.2,G,maj,na
nan,17.3,G,maj,na
nan,17.4,G,maj,na
nan,17.5,G,maj,na
nan,17.6,G,maj,na
nan,17.7,G,maj,na
nan,17.8,G,maj,na
nan,17.9,G,maj,na
nan,18,G,maj,na
nan,18.1,G,maj,na
nan,18.2,G,maj,na
nan,18.3,G,maj,na
nan,18.4,G,maj,na
nan,18.5,G,maj,na
nan,18.6,G,maj,na
nan,18.7,G,maj,na
nan,18.8,G,maj,na
nan,18.9,G,maj,na
nan,19,G,maj,na
nan,19.1,G,maj,na
nan,19.2,G,maj,na
nan,19.3,G,maj,na
nan,19.4,G,maj,na
nan,19.5,G,maj,na
nan,19.6,G,maj,na
nan,19.7,G,maj,na
nan,19.8,G,maj,na
orchestra_addon/CrossEra-1630_Beethoven_symphony_no._8__temo_di_menuetto.mp3,0,na,na,na
nan,0,F,maj,na
nan,0.1,F,maj,na
nan,0.2,F,maj,na
nan,0.3,F,maj,na
nan,0.4,F,maj,na
nan,0.5,F,maj,na
nan,0.6,F,maj,na
nan,0.7,F,maj,na
nan,0.8,C,maj,min7
nan,0.9,C,maj,min7
nan,1,C,maj,min7
nan,1.1,C,maj,min7
nan,1.2,C,maj,min7
nan,1.3,C,maj,min7
nan,1.4,C,maj,min7
nan,1.5,C,maj,min7
nan,1.6,C,maj,min7
nan,1.7,C,maj,min7
nan,1.8,C,maj,min7
nan,1.9,C,maj,min7
nan,2,C,maj,min7
nan,2.1,C,maj,min7
nan,2.2,C,maj,min7
nan,2.3,C,maj,min7
nan,2.4,C,maj,min7
nan,2.5,C,maj,min7
nan,2.6,C,maj,min7
nan,2.7,C,maj,min7
nan,2.8,C,maj,min7
nan,2.9,C,maj,min7
nan,3,C,maj,min7
nan,3.1,C,maj,min7
nan,3.2,C,maj,min7
nan,3.3,C,maj,min7
nan,3.4,C,maj,min7
nan,3.5,C,maj,min7
nan,3.6,C,maj,min7
nan,3.7,C,maj,min7
nan,3.8,C,maj,min7
nan,3.9,C,maj,min7
nan,4,C,maj,min7
nan,4.1,C,maj,min7
nan,4.2,C,maj,min7
nan,4.3,C,maj,min7
nan,4.4,C,maj,min7
nan,4.5,C,maj,min7
nan,4.6,C,maj,min7
nan,4.7,C,maj,min7
nan,4.8,C,maj,min7
nan,4.9,C,maj,min7
nan,5,C,maj,min7
nan,5.1,A,min,min7
nan,5.2,A,min,min7
nan,5.3,A,min,min7
nan,5.4,A,min,min7
nan,5.5,A,min,min7
nan,5.6,A,min,min7
nan,5.7,A,min,min7
nan,5.8,A,min,min7
nan,5.9,A,min,min7
nan,6,A,min,min7
nan,6.1,A,min,min7
nan,6.2,A,min,min7
nan,6.3,A,min,min7
nan,6.4,A,min,min7
nan,6.5,A,min,min7
nan,6.6,A,min,min7
nan,6.7,C,maj,na
nan,6.8,C,maj,na
nan,6.9,C,maj,na
nan,7,C,maj,na
nan,7.1,C,maj,na
nan,7.2,C,maj,na
nan,7.3,C,maj,na
nan,7.4,C,maj,na
nan,7.5,C,maj,na
nan,7.6,C,maj,na
nan,7.7,C,maj,na
nan,7.8,C,maj,na
nan,7.9,C,maj,na
nan,8,C,maj,na
nan,8.1,C,maj,na
nan,8.2,C,maj,na
nan,8.3,C,maj,na
nan,8.4,C,maj,na
nan,8.5,C,maj,na
nan,8.6,C,maj,na
nan,8.7,C,maj,na
nan,8.8,C,maj,na
nan,8.9,C,maj,na
nan,9,C,maj,na
nan,9.1,C,maj,na
nan,9.2,C,maj,na
nan,9.3,C,maj,na
nan,9.4,C,maj,na
nan,9.5,C,maj,na
nan,9.6,C,maj,na
nan,9.7,C,maj,na
nan,9.8,C,maj,na
nan,9.9,C,maj,na
nan,10,C,maj,na
nan,10.1,C,maj,na
nan,10.2,C,maj,na
nan,10.3,C,maj,na
nan,10.4,C,maj,na
nan,10.5,C,maj,na
nan,10.6,C,maj,na
nan,10.7,C,maj,na
nan,10.8,C,maj,na
nan,10.9,C,maj,na
nan,11,C,maj,na
nan,11.1,C,maj,na
nan,11.2,C,maj,na
nan,11.3,C,maj,na
nan,11.4,C,maj,na
nan,11.5,C,maj,na
nan,11.6,C,maj,na
nan,11.7,F,maj,na
nan,11.8,F,maj,na
nan,11.9,F,maj,na
nan,12,F,maj,na
nan,12.1,F,maj,na
nan,12.2,F,maj,na
nan,12.3,F,maj,na
nan,12.4,F,maj,na
nan,12.5,F,maj,na
nan,12.6,F,maj,na
nan,12.7,F,maj,na
nan,12.8,F,maj,na
nan,12.9,F,maj,na
nan,13,F,maj,na
nan,13.1,F,maj,na
nan,13.2,F,maj,na
nan,13.3,F,maj,na
nan,13.4,E,dim,min7
nan,13.5,E,dim,min7
nan,13.6,E,dim,min7
nan,13.7,E,dim,min7
nan,13.8,E,dim,min7
nan,13.9,E,dim,min7
nan,14,E,dim,min7
nan,14.1,E,dim,min7
nan,14.2,E,dim,min7
nan,14.3,E,dim,min7
nan,14.4,E,dim,min7
nan,14.5,E,dim,min7
nan,14.6,E,dim,min7
nan,14.7,E,dim,min7
nan,14.8,E,dim,min7
nan,14.9,E,dim,min7
nan,15,E,dim,min7
nan,15.1,F,maj,na
nan,15.2,F,maj,na
nan,15.3,F,maj,na
nan,15.4,F,maj,na
nan,15.5,F,maj,na
nan,15.6,F,maj,na
nan,15.7,F,maj,na
nan,15.8,F,maj,na
nan,15.9,F,maj,na
nan,16,F,maj,na
nan,16.1,F,maj,na
nan,16.2,F,maj,na
nan,16.3,F,maj,na
nan,16.4,F,maj,na
nan,16.5,F,maj,na
nan,16.6,F,maj,na
nan,16.7,F,maj,na
nan,16.8,F,maj,na
nan,16.9,F,maj,na
nan,17,F,maj,na
nan,17.1,F,maj,na
nan,17.2,F,maj,na
nan,17.3,C,maj,min7
nan,17.4,C,maj,min7
nan,17.5,C,maj,min7
nan,17.6,C,maj,min7
nan,17.7,C,maj,min7
nan,17.8,C,maj,min7
nan,17.9,C,maj,min7
nan,18,C,maj,min7
nan,18.1,C,maj,min7
nan,18.2,C,maj,min7
nan,18.3,C,maj,min7
nan,18.4,C,maj,min7
nan,18.5,C,maj,min7
nan,18.6,C,maj,min7
nan,18.7,C,maj,min7
nan,18.8,C,maj,min7
nan,18.9,C,maj,min7
nan,19,C,maj,min7
nan,19.1,C,maj,min7
nan,19.2,C,maj,min7
nan,19.3,C,maj,min7
nan,19.4,C,maj,min7
nan,19.5,C,maj,min7
nan,19.6,C,maj,min7
nan,19.7,C,maj,min7
nan,19.8,C,maj,min7
orchestra_addon/CrossEra-1630_Beethoven_symphony_no._8__temo_di_menuetto.mp3,0,na,na,na
nan,0,F,maj,na
nan,0.1,F,maj,na
nan,0.2,F,maj,na
nan,0.3,F,maj,na
nan,0.4,F,maj,na
nan,0.5,F,maj,na
nan,0.6,F,maj,na
nan,0.7,F,maj,na
nan,0.8,C,maj,min7
nan,0.9,C,maj,min7
nan,1,C,maj,min7
nan,1.1,C,maj,min7
nan,1.2,C,maj,min7
nan,1.3,C,maj,min7
nan,1.4,C,maj,min7
nan,1.5,C,maj,min7
nan,1.6,C,maj,min7
nan,1.7,C,maj,min7
nan,1.8,C,maj,min7
nan,1.9,C,maj,min7
nan,2,C,maj,min7
nan,2.1,C,maj,min7
nan,2.2,C,maj,min7
nan,2.3,C,maj,min7
nan,2.4,C,maj,min7
nan,2.5,C,maj,min7
nan,2.6,C,maj,min7
nan,2.7,C,maj,min7
nan,2.8,C,maj,min7
nan,2.9,C,maj,min7
nan,3,C,maj,min7
nan,3.1,C,maj,min7
nan,3.2,C,maj,min7
nan,3.3,C,maj,min7
nan,3.4,C,maj,min7
nan,3.5,C,maj,min7
nan,3.6,C,maj,min7
nan,3.7,C,maj,min7
nan,3.8,C,maj,min7
nan,3.9,C,maj,min7
nan,4,C,maj,min7
nan,4.1,C,maj,min7
nan,4.2,C,maj,min7
nan,4.3,C,maj,min7
nan,4.4,C,maj,min7
nan,4.5,C,maj,min7
nan,4.6,C,maj,min7
nan,4.7,C,maj,min7
nan,4.8,C,maj,min7
nan,4.9,C,maj,min7
nan,5,C,maj,min7
nan,5.1,A,min,min7
nan,5.2,A,min,min7
nan,5.3,A,min,min7
nan,5.4,A,min,min7
nan,5.5,A,min,min7
nan,5.6,A,min,min7
nan,5.7,A,min,min7
nan,5.8,A,min,min7
nan,5.9,A,min,min7
nan,6,A,min,min7
nan,6.1,A,min,min7
nan,6.2,A,min,min7
nan,6.3,A,min,min7
nan,6.4,A,min,min7
nan,6.5,A,min,min7
nan,6.6,A,min,min7
nan,6.7,C,maj,na
nan,6.8,C,maj,na
nan,6.9,C,maj,na
nan,7,C,maj,na
nan,7.1,C,maj,na
nan,7.2,C,maj,na
nan,7.3,C,maj,na
nan,7.4,C,maj,na
nan,7.5,C,maj,na
nan,7.6,C,maj,na
nan,7.7,C,maj,na
nan,7.8,C,maj,na
nan,7.9,C,maj,na
nan,8,C,maj,na
nan,8.1,C,maj,na
nan,8.2,C,maj,na
nan,8.3,C,maj,na
nan,8.4,C,maj,na
nan,8.5,C,maj,na
nan,8.6,C,maj,na
nan,8.7,C,maj,na
nan,8.8,C,maj,na
nan,8.9,C,maj,na
nan,9,C,maj,na
nan,9.1,C,maj,na
nan,9.2,C,maj,na
nan,9.3,C,maj,na
nan,9.4,C,maj,na
nan,9.5,C,maj,na
nan,9.6,C,maj,na
nan,9.7,C,maj,na
nan,9.8,C,maj,na
nan,9.9,C,maj,na
nan,10,C,maj,na
nan,10.1,C,maj,na
nan,10.2,C,maj,na
nan,10.3,C,maj,na
nan,10.4,C,maj,na
nan,10.5,C,maj,na
nan,10.6,C,maj,na
nan,10.7,C,maj,na
nan,10.8,C,maj,na
nan,10.9,C,maj,na
nan,11,C,maj,na
nan,11.1,C,maj,na
nan,11.2,C,maj,na
nan,11.3,C,maj,na
nan,11.4,C,maj,na
nan,11.5,C,maj,na
nan,11.6,C,maj,na
nan,11.7,F,maj,na
nan,11.8,F,maj,na
nan,11.9,F,maj,na
nan,12,F,maj,na
nan,12.1,F,maj,na
nan,12.2,F,maj,na
nan,12.3,F,maj,na
nan,12.4,F,maj,na
nan,12.5,F,maj,na
nan,12.6,F,maj,na
nan,12.7,F,maj,na
nan,12.8,F,maj,na
nan,12.9,F,maj,na
nan,13,F,maj,na
nan,13.1,F,maj,na
nan,13.2,F,maj,na
nan,13.3,F,maj,na
nan,13.4,E,dim,min7
nan,13.5,E,dim,min7
nan,13.6,E,dim,min7
nan,13.7,E,dim,min7
nan,13.8,E,dim,min7
nan,13.9,E,dim,min7
nan,14,E,dim,min7
nan,14.1,E,dim,min7
nan,14.2,E,dim,min7
nan,14.3,E,dim,min7
nan,14.4,E,dim,min7
nan,14.5,E,dim,min7
nan,14.6,E,dim,min7
nan,14.7,E,dim,min7
nan,14.8,E,dim,min7
nan,14.9,E,dim,min7
nan,15,E,dim,min7
nan,15.1,F,maj,na
nan,15.2,F,maj,na
nan,15.3,F,maj,na
nan,15.4,F,maj,na
nan,15.5,F,maj,na
nan,15.6,F,maj,na
nan,15.7,F,maj,na
nan,15.8,F,maj,na
nan,15.9,F,maj,na
nan,16,F,maj,na
nan,16.1,F,maj,na
nan,16.2,F,maj,na
nan,16.3,F,maj,na
nan,16.4,F,maj,na
nan,16.5,F,maj,na
nan,16.6,F,maj,na
nan,16.7,F,maj,na
nan,16.8,F,maj,na
